;---------------------------------------------------------------------
; AHK Desktop Helper v2.5.3.0
; AutoCorrect — Default list
; 2024-05-23 00:57
;---------------------------------------------------------------------
; USAGE:
;    replacement|trigger|modifiers
;
; CHARACTER COMBINATIONS:
;    [abc]* = one of these characters can optionally be at this position
;    [abc]? = one of these characters must be at this position
;    [abc]+ = all of these characters must be present in any order
;    [abc]! = this combination is optional
;
; OPTIONAL MODIFIERS:
;    ?  = the hotstring will trigger even when inside another word
;    *  = an ending character is not required to trigger
;    B0 = turn off backspacing
;    C  = trigger is case sensitive
;    C1 = always send the replacement as typed
;    O  = remove the trigger character
;    R  = send raw output
;    X  = delete any instance of this trigger
;---------------------------------------------------------------------


11th|11st
12th|12nd
13th|13rd
1830s|1830ies
1840s|1840's
1850s|1850's
1850s|1850ies
1860s|1860ies
1870s|1870ies
1880s|1880ies
1890s|1890ies
1900s|1900ies
1910s|1910ies
1920s|1920ies
1930s|1930ies
1940s|1940's
1940s|1940ies
1950s|1950-ies
1950s|1950ies
1960s|1960-ies
1960s|1960ies
1970s|1970-ies
1970s|1970ies
1980s|1980-ies
1980s|1980ies
1990s|1990-ies
1990s|1990ies
1st|1nd
1st|1th
2000s|2000ies
2010s|2010ies
2nd|2th
31st|31th
32nd|32th
33rd|33th
3rd|3nd
3rd|3th
41st|41th
42nd|42th
43rd|43th
51st|51th
52nd|52th
53rd|53nd
53rd|53th
61st|61th
62nd|62th
63rd|63nd
63rd|63th
71st|71th
72nd|72th
73rd|73th
a 10|an 10
a 12|an 12
a batsman|a batsmen
a bit of|abit of
a breakdown|a break down
a British|an British
a businessman|a businessmen
a businesswoman|a businesswomen
a Canadian|an Canadian
a consortium|a consortia
a criterion|a criteria
a dominant|a dominate
a European|an European
a falling-out|a falling out
a film|an film
a fireman|a firemen
a flagellum|a flagella
a follow-up|a follow up
a foreword by|a forward by
a freshman|a freshmen
a fungus|a fungi
a gunman|a gunmen
a half|an half
a halt|an halt
a hand|an hand
a Hawaiian|an Hawaiian
a head|an head
a heart|an heart
a helicopter|an helicopter
a hero|an hero
a high|an high
a historian|an historian
a historical|an historical
a historic|an historic
a history|an history
a hospital|an hospital
a hotel|an hotel
a humanitarian|an humanitarian
a larger|an larger
a large|an large
a larva|a larvae
a lawyer|an lawyer
a law|an law
a local|an local
a lockout|a lock out
a long time|along time
a loss|a lose
a lot more|alot more
a lot of|allot of
a lot of|alot of
a Malaysian|an Malaysian
a manufacturer|a manufacture
a medium for|a media for
a new|an new
a nine|an nine
a ninth|an ninth
a non|an non
a nucleus|a nuclei
a number of|a numbers of
a number|an number
a pair|an pair
a parenthesis|a parentheses
a player|an player
a popular|an popular
a pre-|an pre-
a pupa|a pupae
a radius|a radii
a renowned|a renown
a run-in|a run in
a Scottish|an Scottish
a second|an second
a series|an series
a setup|a set up
a seventh|an seventh
a seven|an seven
a sixteen|an sixteen
a sixth|an sixth
a six|an six
a song|an song
a special|an special
a species|an species
a specific|an specific
a spermatozoon|a spermatozoa
a statement|an statement
a statesman|a statesmen
a stratum|a strata
a taxon|a taxa
a ten|an ten
a two-month|a two months
a union|an union
a unit|an unit
a Unix|an Unix
a USB|an USB
a vengeance|avengence
a vertebra|a vertebrae
a woman|a women
a workout|a work out
a.k.a.|a.k.a
abandoned|abandonned
abandoned|abondoned
abandon|abondon
abandon|adbandon
abbreviated|abbrieviated
abbreviated|abbriviated
abbreviate|abreviate
abbreviation|abbriviation
abbreviation|abreviation
aberrant|abberant
aberrant|aberrent
aberration|abberation
aberration|aberation
abilities|abilites
ability|abillity
ability|abilty
abnormalities|abnormalites
Aboriginal descent|Aboriginal decent
aborigine|aborigene
abortifacient|abortificant
about a|abouta
about its|about it's
about it|aboutit
about their|about they're
about the|aboutthe
about whom to|about who to
about whose|about who's
about|abbout
about|abotu
about|baout
above its|above it's
above-mentioned|above mentioned
abscess|abcess
absence|abscence
absence|absense
absense|abcense
absolutely|absolutly
absolute|absoulte
absorbed|asorbed
absorbency|absorbancy
absorbent|absorbant
absorption|absorbsion
absorption|absorbtion
absorption|absorpsion
abundances|abundacies
abundances|abundancies
abundance|abudance
abundance|abundence
abundant|abundent
abundant|abundunt
abuts|abutts
academic|acadmic
academic|accademic
academic|acedemic
academy|acadamy
academy|accadamy
academy|accademy
accelerate|accellerate
acceleration|accelleration
acceptable|acceptible
acceptance|acceptence
accessed|accesed
accessible|accessable
accession|accension
accessories|accesories
accessorise|accesorise
accessory|accesory
access|acess
accidentally|accidentaly
accidentally|accidentially
accidentally|accidently
accident|accidant
acclimatization|acclimitization
accolade|acolade
accommodated|accomodated
accommodates|accomodates
accommodate|accomadate
accommodate|accomdate
accommodate|accomodate
accommodate|acommodate
accommodate|acomodate
accommodating|accomodating
accommodations|accomodations
accommodation|accomadation
accommodation|accomodation
accompanied|accompanyed
accompanying|accompaning
accomplished|acomplished
accomplishments|acomplishments
accomplishment|acomplishment
accomplish|acomplish
according to a|according a
according to|accordingto
accordingly|acordingly
according|accoring
according|acording
accordion|accordeon
accordion|accordian
account|acocunt
accredit|accreditate
accuracy|acuracy
accused|acccused
accused|accussed
accused|acused
accustomed|acustommed
accustom|acustom
achieved|acheived
achievements|achivements
achievement|acheivement
achievement|acheivment
achievement|achievment
achievement|achivement
achievement|archivement
achieves|acheives
achieve|acheive
achieve|achive
achieving|acheiving
acknowledged|acknowldeged
acknowledging|acknowledgeing
acoustic|accoustic
acquaintances|acquiantences
acquaintance|acquaintence
acquaintance|acquiantence
acquaintance|aquaintance
acquaintance|aquiantance
acquainted|accquainted
acquainted|aquainted
acquired|aquired
acquire|adquire
acquire|aquire
acquiring|adquiring
acquiring|aquiring
acquisition|acquistion
acquisition|aquisition
acquitted|acquited
acquitted|aquitted
acquit|aquit
across its|across it's
across|accros
across|accross
actively|activly
activities|activites
actually|actualy
actually|actualyl
actually|acutally
ad nauseam|ad nauseum
adaptations|adaptions
adaptation|adaption
additionally|addionally
additionally|additinally
additionally|additionaly
additional|addional
additional|additinal
additional|additioal
additional|addtional
additional|aditional
addition|addittion
addition|addtion
addition|adition
addressable|addresable
addressable|adresable
addressable|adressable
addressed|addresed
addressed|adressed
addresses|addressess
addressing|addresing
addressing|adresing
address|addres
address|adres
address|adress
adequate|adecuate
adequate|adequit
adequate|adequite
adherence|adhearence
adherence|adherance
adhere|adhear
adhering|adhearing
adiós|adi[oó]?s
adjacent|ajacent
adjoining|ajoining
adjoin|ajoin
adjust|ajust
administered|adminstered
administrate|adminstrate
administration|administartion
administration|adminstration
administrative|admininistrative
administrative|adminstrative
administrator|adminstrator
admissibility|admissability
admissible|admissable
admission|addmission
admittedly|admitedly
admitted|addmitted
admitted|admited
admitting|admiting
admit|admitt
adolescent|adolecent
adopted|addopted
adoptive|addoptive
adopt|addopt
advanced|adavanced
advantageous|advantagous
advantage|adantage
advantage|advanage
adventurous|adventrous
adversary|advesary
advertisements|advertisments
advertisement|advertisment
advertising|asdvertising
advised|adviced
aerial view|arial view
aerial view|ariel view
aerials|aeriels
aerial|aeriel
aerodynamics|areodynamics
aesthetically|asthetically
aesthetic|asthetic
aesthetic|asthetical
affair|afair
affidavit|affadavit
affiliate|affilate
affiliate|affilliate
aficionados|afficianados
aficionados|afficionados
aficionado|afficionado
aforementioned|aforememtioned
afraid|affraid
African descent|African decent
Africa|Afica
after a long time|after along time
after a while|after awhile
after being|after been
after its|after it's
after quite a while|after quite awhile
after the|afterthe
after which|afterwhich
after-effect|after-affect
aftereffect|afteraffect
after|affter
after|afther
against its|against it's
against the|againstt he
against whom|against who
against|againnst
against|agains
against|againsts
against|agaisnt
against|aganist
against|agianst
against|aginst
again|agian
again|agin
aggravates|aggaravates
aggravate|agravate
aggregates|agregates
aggregate|agregate
aggression|agression
aggressively|agressively
aggressive|aggresive
aggressive|agressive
aggressor|agressor
aggrieved|agrieved
aggrieve|agrieved
agitate|aggitate
agree in principle|agree in principal
agreed|aggreed
agreed|agred
agreeing|agreing
agreement in principle|agreement in principal
agreements|agreemeents
agreements|agreemnets
agreement|aggreement
agreement|agreeement
agreement|agreemeent
agreement|agreemnet
agreement|agreemnt
agrees|agress
agree|aggree
agree|agre
agriculture|agricultue
agriculture|agriculure
agriculture|agricuture
aikidō|aikid[oō]?
Air Canada Centre|Air Canada Center
airborne|airborn
airborne|airbourne
aircraft|aicraft
aircraft|aircaft
aircraft|aircrafts
aircraft|airrcraft
airplane hangar|airplane hanger
airports|airporta
airport|aiport
Albanian descent|Albanian decent
albeit|albiet
alcoholic|alchoholic
alcoholic|alcholic
alcoholic|alcoholical
alcohol|alchohol
alcohol|alchol
alcohol|alcohal
alcohol|alochol
algebraic|algebraical
algorithms|algorhitms
algorithms|algoritms
algorithm|algoritm
alienating|alientating
alignment|allignment
align|allign
all for naught|all for not
all its|all it's
all of the|the all of the
all told|all tolled
all-inclusive|all inclusive
all-time|alltime
allegedly|alledgedly
allegedly|allegedely
allegedly|allegedy
allegedly|allegely
alleged|aledged
alleged|aleged
alleged|alledged
alleges|aledges
alleges|alledges
allege|aledge
allege|alege
allege|alledge
allegiance|alegience
allegiance|allegence
allegiance|allegience
allegory|allagory
alleviate|alliviate
alliance|allaince
allophones|allopones
allophone|allopone
allotted|alloted
allotted|alotted
allotting|alloting
allotting|alotting
allowed|alowed
allowing|alowing
allow|alow
alluded to|eluded to
allusion|alusion
alluvial|aluvial
alma mater|alma matter
almost|allmost
almost|almots
almost|almsot
almost|alomst
alone|alonw
along its|along it's
along with|with along with
alongside its|alongside it's
alongside|along side
along|allong
alpaca|apalca
already been|been already been
already|allready
already|alraedy
already|alreayd
already|alreday
already|aready
Alsatian|alsation
also known as|also know as
also known by|also know by
also known for|also know for
also|allso
also|alos
also|alsot
also|aslo
also|in addition also
altar boy|alter boy
altar server|alter server
altarpiece|alterpiece
altered|alterated
alternatives|alternitives
alternative|altenative
although|all though
although|allthough
although|altho
although|althought
although|altough
although|athough
altogether|alltogether
always|allwasy
always|allways
always|allwyas
always|alsways
always|alwasy
always|alwats
always|alway
always|alwyas
am loath to|am loathe to
amalgamated|amalgomated
amass|ammass
amateur|amatuer
ambient|ambiant
ambiguous|ambigious
ameliorate|amerliorate
amended|ammended
amendments|ammendments
amendment|admendment
amendment|amendmant
amendment|ammendment
amend|ammend
amenities|amenites
amenity|ammenity
American descent|American decent
American|Ameircan
American|Amercian
America|Amercia
amid its|amid it's
amidst its|amidst it's
amnesty|amnisty
among its|among it's
among other things|among others things
among the|the among the
amongst its|amongst it's
amongst other things|amongst others things
amongst|amoungst
among|amoung
among|amung
amount|ammount
amphitheater|ampitheater
amphitheatre|ampitheatre
amused|ammused
an 11th-century|a 11th century
an 11th|a 11th
an 11|a 11
an 1800|a 1800
an 18th-century|a 18th century
an 18th|a 18th
an 18|a 18
an 8000|a 8000
an 800|a 800
an 80th|a 80th
an 80|a 80
an 81|a 81
an 82|a 82
an 83|a 83
an 84|a 84
an 85|a 85
an 86|a 86
an 87|a 87
an 88|a 88
an 89|a 89
an 8th-century|a 8th century
an 8th|a 8th
an 8|a 8
an abbreviation|a abbreviation
an ABC|a ABC
an absolute|a absolute
an abstract|a abstract
an accidental|a accidental
an accident|a accident
an account|a account
an acoustic|a acoustic
an acronym|a acronym
an acting|a acting
an action|a action
an active|a active
an actor|a actor
an actress|a actress
an actual|a actual
an additional|a additional
an advanced|a advanced
an affair|a affair
an affiliate|a affiliate
an African|a African
an album|a album
an Algerian|a Algerian
an alias|a alias
an alien|a alien
an alternative|a alternative
an alumna of|an alumnae of
an alumnus of|an alumni of
an amateur|a amateur
an American|a American
an amount|a amount
an AM|a AM
an analogue|a analogue
an analog|a analog
an ancient|a ancient
an angle|a angle
an Angolan|a Angolan
an annual|a annual
an answer|a answer
an antenna|a antenna
an antenna|an antennae
an anti|a anti
an Arabian|a Arabian
an Arabic|a Arabic
an Argentine|a Argentine
an Armenian|a Armenian
an Asian|a Asian
an assistant|a assistant
an associate|a associate
an ATM|a ATM
an Australian|a Australian
an Austrian|a Austrian
an average|a average
an early|a early
an effective|a effective
an effect|an affect
an Egyptian|a Egyptian
an eighteenth|a eighteenth
an eighteen|a eighteen
an eighth|a eighth
an eighty|a eighty
an eight|a eight
an electric|a electric
an electronic|a electronic
an eleventh|a eleventh
an eleven|a eleven
an elite|a elite
an embedded|a embedded
an English|a English
an entire|a entire
an epic|a epic
an episode|a episode
an EP|a EP
an equal|a equal
an estimate|a estimate
an Ethiopian|a Ethiopian
an ethnic|a ethnic
an example|a example
an extent|an extend
an extra|a extra
an FM|a FM
an heir|a heir
an honor|a honor
an hour|a hour
an impact|a impact
an important|a important
an independent|a independent
an Indian|a Indian
an individual|a individual
an Indonesian|a Indonesian
an indoor|a indoor
an information|a information
an initiative|a initiative
an intelligent|a intelligent
an interesting|a interesting
an interim|a interim
an interior|a interior
an intermediate|a intermediate
an international|a international
an Internet|a Internet
an intersection|a intersection
an interview|a interview
an introduction|a introduction
an Iranian|a Iranian
an Iraqi|a Iraqi
an Irish|a Irish
an iron|a iron
an island|a island
an Israeli|a Israeli
an issue|a issue
an Italian|a Italian
an MLB|a MLB
an MRI|a MRI
an NBA|a NBA
an NBC|a NBC
an NFL|a NFL
an ocean|a ocean
an offensive|a offensive
an official|a official
an Ohio|a Ohio
an oil|a oil
an old|a old
an Olympic|a Olympic
an online|a online
an open|a open
